arxiv_id,title,abstract,classified_type,MARIA_ANNOTATION,YANAI_ANNOTATION,YANAI_COMMENT,MARIA_COMMENT
2202.08187,"Differential Privacy and Fairness in Decisions and Learning Tasks: A
  Survey","  This paper surveys recent work in the intersection of differential privacy
(DP) and fairness. It reviews the conditions under which privacy and fairness
may have aligned or contrasting goals, analyzes how and why DP may exacerbate
bias and unfairness in decision problems and learning tasks, and describes
available mitigation measures for the fairness issues arising in DP systems.
The survey provides a unified understanding of the main challenges and
potential risks arising when deploying privacy-preserving machine-learning or
decisions-making tasks under a fairness lens.
",review,1,,,
2307.02332,"Co-creating a Transdisciplinary Map of Technology-mediated Harms, Risks
  and Vulnerabilities: Challenges, Ambivalences and Opportunities","  The phrase ""online harms"" has emerged in recent years out of a growing
political willingness to address the ethical and social issues associated with
the use of the Internet and digital technology at large. The broad landscape
that surrounds online harms gathers a multitude of disciplinary, sectoral and
organizational efforts while raising myriad challenges and opportunities for
the crossing entrenched boundaries. In this paper we draw lessons from a
journey of co-creating a transdisciplinary knowledge infrastructure within a
large research initiative animated by the online harms agenda. We begin with a
reflection of the implications of mapping, taxonomizing and constructing
knowledge infrastructures and a brief review of how online harm and adjacent
themes have been theorized and classified in the literature to date. Grounded
on our own experience of co-creating a map of online harms, we then argue that
the map -- and the process of mapping -- perform three mutually constitutive
functions, acting simultaneously as method, medium and provocation. We draw
lessons from how an open-ended approach to mapping, despite not guaranteeing
consensus, can foster productive debate and collaboration in ethically and
politically fraught areas of research. We end with a call for CSCW research to
surface and engage with the multiple temporalities, social lives and political
sensibilities of knowledge infrastructures.
",review,1,1,,
2408.06304,"Control-Flow Attestation: Concepts, Solutions, and Open Challenges","  Control-flow attestation unifies the worlds of control-flow integrity and
platform attestation by measuring and reporting a target's run-time behaviour
to a verifier. Trust assurances in the target are provided by testing whether
its execution follows an authorised control-flow path. The problem has been
explored in various settings, such as assessing the trustworthiness of
cyber-physical systems, Internet of Things devices, cloud platforms, and many
others. Despite a significant number of proposals being made in recent years,
the area remains fragmented, addressing different adversarial behaviours,
verification paradigms, and deployment challenges. In this paper, we present
the first survey of control-flow attestation, examining the core ideas and
solutions in state-of-the-art schemes. In total, we survey over 30 papers
published between 2016-2024, consolidate and compare their key features, and
pose several challenges and recommendations for future research in the area.
",review,1,,,
2204.02921,A survey on recently proposed activation functions for Deep Learning,"  Artificial neural networks (ANN), typically referred to as neural networks,
are a class of Machine Learning algorithms and have achieved widespread
success, having been inspired by the biological structure of the human brain.
Neural networks are inherently powerful due to their ability to learn complex
function approximations from data. This generalization ability has been able to
impact multidisciplinary areas involving image recognition, speech recognition,
natural language processing, and others. Activation functions are a crucial
sub-component of neural networks. They define the output of a node in the
network given a set of inputs. This survey discusses the main concepts of
activation functions in neural networks, including; a brief introduction to
deep neural networks, a summary of what are activation functions and how they
are used in neural networks, their most common properties, the different types
of activation functions, some of the challenges, limitations, and alternative
solutions faced by activation functions, concluding with the final remarks.
",review,1,,,
2310.19687,Sentiment Analysis in Digital Spaces: An Overview of Reviews,"  Sentiment analysis (SA) is commonly applied to digital textual data,
revealing insight into opinions and feelings. Many systematic reviews have
summarized existing work, but often overlook discussions of validity and
scientific practices. Here, we present an overview of reviews, synthesizing 38
systematic reviews, containing 2,275 primary studies. We devise a bespoke
quality assessment framework designed to assess the rigor and quality of
systematic review methodologies and reporting standards. Our findings show
diverse applications and methods, limited reporting rigor, and challenges over
time. We discuss how future research and practitioners can address these issues
and highlight their importance across numerous applications.
",review,1,,,
2407.18597,Reinforcement Learning for Sustainable Energy: A Survey,"  The transition to sustainable energy is a key challenge of our time,
requiring modifications in the entire pipeline of energy production, storage,
transmission, and consumption. At every stage, new sequential decision-making
challenges emerge, ranging from the operation of wind farms to the management
of electrical grids or the scheduling of electric vehicle charging stations.
All such problems are well suited for reinforcement learning, the branch of
machine learning that learns behavior from data. Therefore, numerous studies
have explored the use of reinforcement learning for sustainable energy. This
paper surveys this literature with the intention of bridging both the
underlying research communities: energy and machine learning. After a brief
introduction of both fields, we systematically list relevant sustainability
challenges, how they can be modeled as a reinforcement learning problem, and
what solution approaches currently exist in the literature. Afterwards, we zoom
out and identify overarching reinforcement learning themes that appear
throughout sustainability, such as multi-agent, offline, and safe reinforcement
learning. Lastly, we also cover standardization of environments, which will be
crucial for connecting both research fields, and highlight potential directions
for future work. In summary, this survey provides an extensive overview of
reinforcement learning methods for sustainable energy, which may play a vital
role in the energy transition.
",review,1,,,
2104.11906,"A Review on C3I Systems' Security: Vulnerabilities, Attacks, and
  Countermeasures","  Command, Control, Communication, and Intelligence (C3I) systems are
increasingly used in critical civil and military domains for achieving
information superiority, operational efficacy, and greater situational
awareness. Unlike traditional systems facing widespread cyber-attacks, the
sensitive nature of C3I tactical operations make their cybersecurity a critical
concern. For instance, tampering or intercepting confidential information in
military battlefields not only damages C3I operations, but also causes
irreversible consequences such as loss of human lives and mission failures.
Therefore, C3I systems have become a focal point for cyber adversaries.
Moreover, technological advancements and modernization of C3I systems have
significantly increased the potential risk of cyber-attacks on C3I systems.
Consequently, cyber adversaries leverage highly sophisticated attack vectors to
exploit security vulnerabilities in C3I systems. Despite the burgeoning
significance of cybersecurity for C3I systems, the existing literature lacks a
comprehensive review to systematize the body of knowledge on C3I systems'
security. Therefore, in this paper, we have gathered, analyzed, and synthesized
the state-of-the-art on the cybersecurity of C3I systems. In particular, this
paper has identified security vulnerabilities, attack vectors, and
countermeasures/defenses for C3I systems. Furthermore, our survey has enabled
us to: (i) propose a taxonomy for security vulnerabilities, attack vectors and
countermeasures; (ii) interrelate attack vectors with security vulnerabilities
and countermeasures; and (iii) propose future research directions for advancing
the state-of-the-art on the cybersecurity of C3I systems.
",review,1,,,
2203.00483,"A Survey on How Test Flakiness Affects Developers and What Support They
  Need To Address It","  Non-deterministically passing and failing test cases, so-called flaky tests,
have recently become a focus area of software engineering research. While this
research focus has been met with some enthusiastic endorsement from industry,
prior work nevertheless mostly studied flakiness using a code-centric approach
by mining software repositories. What data extracted from software repositories
cannot tell us, however, is how developers perceive flakiness: How prevalent is
test flakiness in developers' daily routine, how does it affect them, and most
importantly: What do they want us researchers to do about it? To answer these
questions, we surveyed 335 professional software developers and testers in
different domains. The survey respondents confirm that flaky tests are a common
and serious problem, thus reinforcing ongoing research on flaky test detection.
Developers are less worried about the computational costs caused by re-running
tests and more about the loss of trust in the test outcomes. Therefore, they
would like to have IDE plugins to detect flaky code as well as better
visualizations of the problem, particularly dashboards showing test outcomes
over time; they also wish for more training and information on flakiness. These
important aspects will require the attention of researchers as well as tool
developers.
",review,0,,,
2307.12874,"SoK: Design, Vulnerabilities, and Security Measures of Cryptocurrency
  Wallets","  The rapid growth of decentralized digital currencies, enabled by blockchain
technology, has ushered in a new era of peer-to-peer transactions,
revolutionizing the global economy. Cryptocurrency wallets, serving as crucial
endpoints for these transactions, have become increasingly prevalent. However,
the escalating value and usage of these wallets also expose them to significant
security risks and challenges. This research aims to comprehensively explore
the security aspects of cryptocurrency wallets. It provides a taxonomy of
wallet types, analyzes their design and implementation, identifies common
vulnerabilities and attacks, and discusses defense mechanisms and mitigation
strategies. The taxonomy covers custodial, non-custodial, hot, and cold
wallets, highlighting their unique characteristics and associated security
considerations. The security analysis scrutinizes the theoretical and practical
aspects of wallet design, while assessing the efficacy of existing security
measures and protocols. Notable wallet attacks, such as Binance, Mt. Gox are
examined to understand their causes and consequences. Furthermore, the paper
surveys defense mechanisms, transaction monitoring, evaluating their
effectiveness in mitigating threats.
",review,1,1,"If the main contribution is a taxonomy, I'd say it's a review paper",
2206.0269,A Survey on Sentence Embedding Models Performance for Patent Analysis,"  Patent data is an important source of knowledge for innovation research,
while the technological similarity between pairs of patents is a key enabling
indicator for patent analysis. Recently researchers have been using patent
vector space models based on different NLP embeddings models to calculate the
technological similarity between pairs of patents to help better understand
innovations, patent landscaping, technology mapping, and patent quality
evaluation. More often than not, Text Embedding is a vital precursor to patent
analysis tasks. A pertinent question then arises: How should we measure and
evaluate the accuracy of these embeddings? To the best of our knowledge, there
is no comprehensive survey that builds a clear delineation of embedding models'
performance for calculating patent similarity indicators. Therefore, in this
study, we provide an overview of the accuracy of these algorithms based on
patent classification performance and propose a standard library and dataset
for assessing the accuracy of embeddings models based on PatentSBERTa approach.
In a detailed discussion, we report the performance of the top 3 algorithms at
section, class, and subclass levels. The results based on the first claim of
patents show that PatentSBERTa, Bert-for-patents, and TF-IDF Weighted Word
Embeddings have the best accuracy for computing sentence embeddings at the
subclass level. According to the first results, the performance of the models
in different classes varies, which shows researchers in patent analysis can
utilize the results of this study to choose the best proper model based on the
specific section of patent data they used.
",review,1,,,
2211.13546,"Number Theoretic Transform and Its Applications in Lattice-based
  Cryptosystems: A Survey","  Number theoretic transform (NTT) is the most efficient method for multiplying
two polynomials of high degree with integer coefficients, due to its series of
advantages in terms of algorithm and implementation, and is consequently
widely-used and particularly fundamental in the practical implementations of
lattice-based cryptographic schemes. Especially, recent works have shown that
NTT can be utilized in those schemes without NTT-friendly rings, and can
outperform other multiplication algorithms. In this paper, we first review the
basic concepts of polynomial multiplication, convolution and NTT. Subsequently,
we systematically introduce basic radix-2 fast NTT algorithms in an algebraic
way via Chinese Remainder Theorem. And then, we elaborate recent advances about
the methods to weaken restrictions on parameter conditions of NTT. Furthermore,
we systematically introduce how to choose appropriate strategy of NTT
algorithms for the various given rings. Later, we introduce the applications of
NTT in the lattice-based cryptographic schemes of NIST post-quantum
cryptography standardization competition. Finally, we try to present some
possible future research directions.
",review,1,,,
2405.19265,"AlchemistCoder: Harmonizing and Eliciting Code Capability by Hindsight
  Tuning on Multi-source Data","  Open-source Large Language Models (LLMs) and their specialized variants,
particularly Code LLMs, have recently delivered impressive performance.
However, previous Code LLMs are typically fine-tuned on single-source data with
limited quality and diversity, which may insufficiently elicit the potential of
pre-trained Code LLMs. In this paper, we present AlchemistCoder, a series of
Code LLMs with enhanced code generation and generalization capabilities
fine-tuned on multi-source data. To achieve this, we pioneer to unveil inherent
conflicts among the various styles and qualities in multi-source code corpora
and introduce data-specific prompts with hindsight relabeling, termed
AlchemistPrompts, to harmonize different data sources and instruction-response
pairs. Additionally, we propose incorporating the data construction process
into the fine-tuning data as code comprehension tasks, including instruction
evolution, data filtering, and code review. Extensive experiments demonstrate
that AlchemistCoder holds a clear lead among all models of the same size
(6.7B/7B) and rivals or even surpasses larger models (15B/33B/70B), showcasing
the efficacy of our method in refining instruction-following capabilities and
advancing the boundaries of code intelligence.
",review,0,,,
2101.11775,Moral and Social Ramifications of Autonomous Vehicles,"  Autonomous Vehicles (AVs) raise important social and ethical concerns,
especially about accountability, dignity, and justice. We focus on the specific
concerns arising from how AV technology will affect the lives and livelihoods
of professional and semi-professional drivers. Whereas previous studies of such
concerns have focused on the opinions of experts, we seek to understand these
ethical and societal challenges from the perspectives of the drivers
themselves.
  To this end, we adopted a qualitative research methodology based on
semi-structured interviews. This is an established social science methodology
that helps understand the core concerns of stakeholders in depth by avoiding
the biases of superficial methods such as surveys.
  We find that whereas drivers agree with the experts that AVs will
significantly impact transportation systems, they are apprehensive about the
prospects for their livelihoods and dismiss the suggestions that driving jobs
are unsatisfying and their profession does not merit protection.
  By showing how drivers differ from the experts, our study has ramifications
beyond AVs to AI and other advanced technologies. Our findings suggest that
qualitative research applied to the relevant, especially disempowered,
stakeholders is essential to ensuring that new technologies are introduced
ethically.
",review,0,,,
2212.07902,Five Facets of 6G: Research Challenges and Opportunities,"  Whilst the fifth-generation (5G) systems are being rolled out across the
globe, researchers have turned their attention to the exploration of radical
next-generation solutions. At this early evolutionary stage we survey five main
research facets of this field, namely {\em Facet~1: next-generation
architectures, spectrum and services, Facet~2: next-generation networking,
Facet~3: Internet of Things (IoT), Facet~4: wireless positioning and sensing,
as well as Facet~5: applications of deep learning in 6G networks.} In this
paper, we have provided a critical appraisal of the literature of promising
techniques ranging from the associated architectures, networking, applications
as well as designs. We have portrayed a plethora of heterogeneous architectures
relying on cooperative hybrid networks supported by diverse access and
transmission mechanisms. The vulnerabilities of these techniques are also
addressed and carefully considered for highlighting the most of promising
future research directions. Additionally, we have listed a rich suite of
learning-driven optimization techniques. We conclude by observing the
evolutionary paradigm-shift that has taken place from pure single-component
bandwidth-efficiency, power-efficiency or delay-optimization towards
multi-component designs, as exemplified by the twin-component ultra-reliable
low-latency mode of the 5G system. We advocate a further evolutionary step
towards multi-component Pareto optimization, which requires the exploration of
the entire Pareto front of all optiomal solutions, where none of the components
of the objective function may be improved without degrading at least one of the
other components.
",review,1,,,
2401.14656,"Scientific Large Language Models: A Survey on Biological & Chemical
  Domains","  Large Language Models (LLMs) have emerged as a transformative power in
enhancing natural language comprehension, representing a significant stride
toward artificial general intelligence. The application of LLMs extends beyond
conventional linguistic boundaries, encompassing specialized linguistic systems
developed within various scientific disciplines. This growing interest has led
to the advent of scientific LLMs, a novel subclass specifically engineered for
facilitating scientific discovery. As a burgeoning area in the community of AI
for Science, scientific LLMs warrant comprehensive exploration. However, a
systematic and up-to-date survey introducing them is currently lacking. In this
paper, we endeavor to methodically delineate the concept of ""scientific
language"", whilst providing a thorough review of the latest advancements in
scientific LLMs. Given the expansive realm of scientific disciplines, our
analysis adopts a focused lens, concentrating on the biological and chemical
domains. This includes an in-depth examination of LLMs for textual knowledge,
small molecules, macromolecular proteins, genomic sequences, and their
combinations, analyzing them in terms of model architectures, capabilities,
datasets, and evaluation. Finally, we critically examine the prevailing
challenges and point out promising research directions along with the advances
of LLMs. By offering a comprehensive overview of technical developments in this
field, this survey aspires to be an invaluable resource for researchers
navigating the intricate landscape of scientific LLMs.
",review,1,,,
2108.13176,"Maximum Expected Delay: A New Metric to Analyse the Performance of
  Asynchronous Quorum-based Protocols in Wireless Sensor Networks","  Energy management is a crucial challenge in wireless sensor networks. To
date, many techniques have been proposed to reduce energy consumption. Duty
cycle methods reduce the energy consumption of wireless sensor networks since
energy consumption declines in the sleep mode. Using quorum-based methods,
sensors can stay in the sleep mode and be awaken periodically to send and
receive data from adjacent nodes. In this paper, we review a subset of these
methods called asynchronous quorum-based methods, independent of
synchronization between nodes, and investigate their performances in different
metrics. Then, we propose a new metric to investigate the latency of adjacent
nodes in wireless sensor networks. Next, we study the performances of all
discussed methods using the proposed metric. Finally, we introduce the best and
worst methods based on different metrics.
",review,0,,,
2205.06719,dewolf: Improving Decompilation by leveraging User Surveys,"  Analyzing third-party software such as malware or firmware is a crucial task
for security analysts. Although various approaches for automatic analysis exist
and are the subject of ongoing research, analysts often have to resort to
manual static analysis to get a deep understanding of a given binary sample.
Since the source code of encountered samples is rarely available, analysts
regularly employ decompilers for easier and faster comprehension than analyzing
a binary's disassembly.
  In this paper, we introduce our decompilation approach dewolf. We developed a
variety of improvements over the previous academic state-of-the-art decompiler
and some novel algorithms to enhance readability and comprehension, focusing on
manual analysis. To evaluate our approach and to obtain a better insight into
the analysts' needs, we conducted three user surveys. The results indicate that
dewolf is suitable for malware comprehension and that its output quality
noticeably exceeds Ghidra and Hex-Rays in certain aspects. Furthermore, our
results imply that decompilers aiming at manual analysis should be highly
configurable to respect individual user preferences. Additionally, future
decompilers should not necessarily follow the unwritten rule to stick to the
code-structure dictated by the assembly in order to produce readable output. In
fact, the few cases where dewolf already cracks this rule lead to its results
considerably exceeding other decompilers. We publish a prototype implementation
of dewolf and all survey results on GitHub.
",review,0,,,
2212.03283,"Status Quo Bias in Users Information Systems (IS) Adoption and
  Continuance Intentions: A Literature Review and Framework","  Information systems (IS) adoption and continuance intentions of users have a
dominant effect on digital transformation in organisations. However,
organisations undergoing digital transformation face substantial barriers due
to user resistance to IS implementations. Status quo bias (SQB) plays a vital
role in users decision-making regarding adopting new IS or continuing to use
existing IS. Despite recent research to validate the effects of SQB on user
resistance to IS implementations, how SQB affects the IS adoption and
continuance intentions of users remains poorly understood, making it harder to
develop ways of successfully dealing with it. To address the gap, we performed
a systematic literature review on SQB in IS research. Our proposed framework
incorporates the psychological phenomena promoting the status quo, SQB theory
constructs, levels of SQB influence, and factors reducing the user resistance
to IS implementations to enhance the understanding of IS adoption and
continuance intentions.
",review,1,,,
2209.04376,Challenges of Implementing Agile Processes in Remote-First Companies,"  The trend of remote work, especially in the IT sector, has been on the rise
in recent years, and its popularity has especially increased since the COVID-19
pandemic. In addition to adopting remote work, companies also have been
migrating toward managing their projects using agile processes. Agile processes
promote small and continuous feedback loops powered by effective communication.
In this survey, we look to discover the challenges of implementing these
processes in a remote setting, specifically focusing on the impact on
communication. We examine the role communication plays in an agile setting and
look for ways to mitigate the risk remote environments impose on it. Lastly, we
present other miscellaneous challenges companies could experience that still
carry dangers but are less impactful overall to agile implementation.
",review,1,,,
2406.09722,Cross-view geo-localization: a survey,"  Cross-view geo-localization has garnered notable attention in the realm of
computer vision, spurred by the widespread availability of copious geotagged
datasets and the advancements in machine learning techniques. This paper
provides a thorough survey of cutting-edge methodologies, techniques, and
associated challenges that are integral to this domain, with a focus on
feature-based and deep learning strategies. Feature-based methods capitalize on
unique features to establish correspondences across disparate viewpoints,
whereas deep learning-based methodologies deploy convolutional neural networks
to embed view-invariant attributes. This work also delineates the multifaceted
challenges encountered in cross-view geo-localization, such as variations in
viewpoints and illumination, the occurrence of occlusions, and it elucidates
innovative solutions that have been formulated to tackle these issues.
Furthermore, we delineate benchmark datasets and relevant evaluation metrics,
and also perform a comparative analysis of state-of-the-art techniques.
Finally, we conclude the paper with a discussion on prospective avenues for
future research and the burgeoning applications of cross-view geo-localization
in an intricately interconnected global landscape.
",review,1,,,
2401.08081,"Predicting Next Useful Location With Context-Awareness: The
  State-Of-The-Art","  Predicting the future location of mobile objects reinforces location-aware
services with proactive intelligence and helps businesses and decision-makers
with better planning and near real-time scheduling in different applications
such as traffic congestion control, location-aware advertisements, and
monitoring public health and well-being. The recent developments in the
smartphone and location sensors technology and the prevalence of using
location-based social networks alongside the improvements in artificial
intelligence and machine learning techniques provide an excellent opportunity
to exploit massive amounts of historical and real-time contextual information
to recognise mobility patterns and achieve more accurate and intelligent
predictions. This survey provides a comprehensive overview of the next useful
location prediction problem with context-awareness. First, we explain the
concepts of context and context-awareness and define the next location
prediction problem. Then we analyse nearly thirty studies in this field
concerning the prediction method, the challenges addressed, the datasets and
metrics used for training and evaluating the model, and the types of context
incorporated. Finally, we discuss the advantages and disadvantages of different
approaches, focusing on the usefulness of the predicted location and
identifying the open challenges and future work on this subject by introducing
two potential use cases of next location prediction in the automotive industry.
",review,1,,,
