arxiv_id,predicted_type,reasoning
2002.01277,regular,"This paper presents a new architecture for secure communication in IoT devices, outlining a design, development, and evaluation of a specific protocol and hardware implementation."
2411.1545,regular,This paper presents a new method for generating forged watermarks and analyzing the effectiveness of backdoor watermarks for dataset ownership verification.
2201.11377,regular,"This paper presents a new framework for evaluating cache security, not a review of existing research."
2409.06422,regular,"This paper presents a novel approach to privacy-preserving machine learning using hybrid homomorphic encryption, outlining a new protocol and demonstrating its effectiveness through experiments and a real-world application."
2402.1723,regular,"This paper presents original research on using LLMs and CoT for software vulnerability analysis, not a review of existing literature."
2111.13894,regular,"This paper presents a novel method for malware evasion, not a review of existing research."
2208.1296,regular,"This paper presents a new automated analyzer for financial security of Ethereum smart contracts, not a review of existing research."
2402.13553,review,The paper provides a comprehensive survey of the applications of Generative AI in enhancing security within the physical layer of communication networks.
2007.09071,regular,"The paper presents a new framework for secure firmware updates, not a review or survey of existing research."
2208.02917,regular,"This paper presents a new study on the effectiveness of padding-only defenses in Tor, presenting experimental results and arguing for a different approach to defense."
2010.13752,regular,"This paper presents a novel system for secure multi-party computation, outlining its architecture, functionalities, and performance benefits. It does not primarily review existing research."
2207.01605,regular,"The paper describes a new encryption scheme and its implementation, not a review or survey of existing research."
2501.12292,regular,"This paper presents a novel reverse engineering technique for evaluating hardware IP protection, not a review or survey of existing research."
2403.17648,review,"The paper presents a conceptual framework for healthcare data governance, privacy, and security, synthesizing existing literature to propose a new approach."
2401.00994,regular,"This paper presents a study on detection and defense mechanisms for virtual assistants, outlining new methods and testing their effectiveness."
2109.13631,regular,"This paper presents a new configuration for HSMs in the cloud, proposing a formal model and implementation, making it an original research paper."
2504.11126,regular,"This paper presents a novel security solution (KubeFence) for Kubernetes, outlining its functionality and experimental results, not a review of existing research."
2109.1066,regular,"This paper presents a new analysis tool (VIA) for detecting vulnerabilities in virtual device interfaces, which is an original research contribution."
2509.20808,regular,"This paper presents a novel framework for hardware fuzzing, outlining its design, implementation, and experimental results."
2503.12958,regular,"This paper presents a novel method for privacy protection in federated learning, not a review of existing literature."
2507.1606,regular,"This paper presents a novel multi-factor authorization scheme, not a review or survey of existing work."
2501.04362,regular,"The paper presents a novel method for detecting guilty actors in image steganography, not a review of existing research."
2303.17069,review,"The paper reviews and analyzes the implementation and periodicity of overlapping ACM, a variation of the Arnold Cat Map, building upon previous work in the field."
2212.04999,regular,"The paper presents an implementation of a specific algorithm (ExTNFS) and its performance evaluation, not a review or survey of existing research."
2310.04896,review,"The paper reviews and discusses anonymizing arrays as a method for achieving anonymity in attribute-based authorization, summarizing existing approaches and proposing new metrics for comparison."
2406.06473,regular,"This paper presents a new methodology and application for auditing privacy practices, not a review of existing research."
2009.01604,regular,"The paper presents a new framework for improving cybersecurity situation awareness in the cloud, proposing a secure protocol and a framework for better collaboration between enterprises and cloud providers. This is original research, not a review of existing literature."
2105.02124,regular,"This paper presents a novel discovery of a vulnerability in a simplified computer model, not a review of existing research."
2505.02344,regular,"This paper presents a novel end-to-end watermarking method for LLMs, outlining its design, implementation, and evaluation. It is not a review or survey of existing research."
2012.02745,regular,"This paper presents a new attack and its mitigation, demonstrating original research."
2305.08039,regular,"The paper presents a novel fuzzing approach for detecting vulnerabilities in 5G systems, not a review of existing research."
2508.20412,regular,"This paper presents a novel method for detecting and attributing tool poisoning attacks in LLMs, not a review of existing research."
2308.04261,regular,"The paper presents a novel approach for implementing optimal Ate pairing on FPGA, outlining three different architectures and optimization techniques."
2512.03641,regular,"The paper describes a new model for understanding attacker decision-making in cyber-deception, not a review of existing literature."
2306.04279,regular,"This paper presents a new paradigm for penetration testing, outlining a methodology and analyzing its application through case studies, not a review of existing research."
2306.16391,regular,"This paper presents original research on software-based power side-channel attacks on Apple M1/M2 devices, including experimental results and analysis."
2006.0629,regular,"This paper presents original research on a new method for data extraction using thermal laser stimulation, not a review of existing literature."
2203.1673,regular,"This paper presents a novel method for designing cancellable EEG templates for privacy-preserving authentication systems, not a review of existing research."
2002.02855,regular,"This paper presents a measurement approach to evaluate the PCI DSS certification process, including the development of a testbed and the analysis of real-world websites. It focuses on empirical results and new methods."
2204.05122,regular,"This paper presents original research on cloud squatting attacks, including a methodology for measuring and mitigating the risk."
2101.02281,regular,"This paper presents a new defense framework for backdoor attacks in federated learning, not a review of existing literature."
2004.10617,regular,"This paper presents a new tool (Twins) for generating Byzantine fault tolerance attack scenarios, not a review of existing research."
2405.11135,regular,"This paper presents a novel method for watermarking Stable Diffusion models, not a review or survey of existing work."
2009.02561,regular,"The paper presents a novel protocol called NF-Crowd for decentralized crowdsourcing, outlining its design, implementation, and performance evaluation."
2509.08083,regular,"This paper presents the results of an interview study exploring software organizations' adoption of security tasks related to software supply chain risk management, not a review of existing literature."
2208.00563,regular,"This paper presents a new method for measuring backdoor watermarking fidelity, which is an original research contribution."
2402.16095,regular,"This paper presents a novel system called chainBoost, which is an original research paper describing a new method for improving blockchain performance."
2304.02655,review,"The paper provides a comprehensive analysis of Bitcoin, covering its evolution, adoption, future implications, and various aspects like economic factors, regulatory landscape, and use cases. This aligns with the characteristics of a review paper."
2209.13913,regular,"This paper presents a novel comparison protocol for private set intersection, not a review of existing literature."
2308.06513,regular,"This paper presents original research on MEV extraction techniques in different blockchain networks, focusing on the impact of FCFS order on MEV extraction strategies."
2511.03229,regular,"This paper presents a novel attack system for user fingerprinting, not a review or survey of existing research."
2510.06607,regular,"This paper presents a new benchmark and evaluation framework for assessing the security implications of computer-use agents (CUAs), which is an original research contribution."
2510.22536,regular,"This paper describes a novel system for private execution on Aztec L2, presenting a new method and its implementation details."
2105.07327,regular,"The paper describes a novel electronic medical record management system, not a review of existing literature."
2212.00381,regular,"The paper presents a novel protocol for e-healthcare systems, outlining its design, security, privacy, and scalability features. It does not primarily review existing research."
2409.14261,regular,"This paper presents a new theoretical and empirical study on privacy in federated learning, focusing on information leakage and privacy-enhancing techniques."
2504.1655,regular,"The paper presents a new collaborative intrusion detection system, outlining its architecture, implementation, and evaluation, making it an original research paper."
2104.04637,regular,"This paper presents a novel family of quantum-safe key-agreement schemes, not a review of existing literature."
2112.08162,regular,"This paper presents a new secure CAN-FD architecture, outlining its implementation and experimental results, making it an original research paper."
2112.11484,regular,"The paper presents empirical results on optimizing the CryptoMiniSat solver for cryptographic instances, not a review of existing research."
2308.06405,regular,"This paper presents a new method for membership inference attacks against diffusion models, not a review of existing research."
2509.0995,regular,"This paper presents a new method for detecting browser fingerprinting, not a review of existing research."
2101.09085,regular,"The paper presents a new protocol for privacy-friendly e-ticketing, not a review of existing research."
2309.11317,regular,"This paper presents a novel approach to reduce gas costs in smart contracts, outlining a new protocol and experimental results."
2508.01909,review,"The paper reviews the attack methodologies and impacts of Mirai variants, summarizing common vulnerabilities and analyzing infection mechanisms."
2401.16583,regular,"This paper presents a new hardware-based method for data confidentiality in machine learning, not a review of existing research."
2107.12566,regular,"This paper describes a CTF competition, not a review or survey of existing cloud security research."
2502.09864,regular,This paper presents a novel side-channel attack technique (MCHammer) and demonstrates its effectiveness in recovering keys from a deployed system.
2108.0937,regular,"This paper presents a new attack on a secure key exchange protocol, demonstrating original research and novel findings."
2502.08193,regular,"This paper presents a novel attack strategy for multi-image settings, introducing new attack methods and evaluating their effectiveness. It does not primarily review existing literature."
2503.15678,review,"The paper reviews the threats of AI and quantum computing in financial transactions, analyzes existing frameworks, and proposes countermeasures and recommendations."
2201.05677,regular,"This paper presents a novel DAG-based BFT protocol called Bullshark, outlining its design, implementation, and performance evaluation."
2210.00486,regular,"The paper presents a novel framework (pMPL) for multi-party learning, outlining its design, protocols, and experimental results."
2208.14727,regular,"The paper presents a new finite-automaton based stream cipher, not a review of existing work."
2310.15934,review,"The paper reviews and compares redactable signature schemes and zero-knowledge proofs, analyzing their suitability for decentralized digital identity systems."
2108.12079,regular,"The paper presents a new implementation of a block cipher, not a review of existing research."
2003.031,regular,"This paper presents a novel reinforcement learning framework for generating adversarial examples for malware classifiers, not a review of existing research."
2312.06989,regular,"This paper presents a novel method for privacy-preserving representation learning in federated learning, not a review of existing work."
2212.13312,regular,"This paper presents experimental results on the effectiveness of smishing attacks, not a review of existing literature."
2402.18365,regular,"The paper presents a novel vehicular security system (TVSS) with a focus on its design, implementation, and security proofs. It does not primarily review existing literature."
2506.03765,regular,"This paper presents a novel detection framework for adversarial examples, not a review or survey of existing research."
2309.17414,regular,"This paper presents a novel implementation of Quantum Resistant primitives in TPMs, not a review of existing research."
2504.03765,review,The paper provides a comprehensive review of watermarking techniques for AI content detection across different modalities.
2307.10258,regular,"The paper presents a simulation framework for team formation in cybersecurity, not a review of existing research."
2503.0398,regular,"This paper presents original research on USB side-channel attacks, not a review of existing literature."
2101.10569,review,"The paper provides a comprehensive survey of differential privacy in the context of industrial IoT, reviewing related literature and outlining challenges and opportunities."
2206.05735,regular,"This paper presents a new hybrid approach for malware classification, outlining a specific method and evaluating its performance on a benchmark."
2308.09237,regular,"The paper presents a novel blockchain-based fuzzy logic system for false data detection in autonomous vehicles, outlining a new method and experimental evaluation."
2506.02063,review,"The paper reviews existing research on privacy-risk management in clinical text de-identification, synthesizing findings from previous studies and exploring societal perspectives on data use."
2511.1823,regular,"This paper presents a novel intrusion detection system, not a review of existing literature."
2407.0063,regular,"The paper presents a novel blockchain-based authentication scheme for UAV networks, outlining its design, implementation, and evaluation. It is not a review or survey of existing work."
2503.01111,review,"The paper reviews the technical procedures and case studies related to tokenizing real-world assets on the blockchain, aiming to provide an overview of the field."
2506.06124,regular,"This paper presents a new data trustee system (PrivTru) and its functionality, not a review of existing research."
2410.14396,regular,"The paper presents a new compression and encryption scheme, not a review of existing research."
2406.19978,regular,"The paper presents a novel digital signature scheme, not a review or survey of existing work."
2108.01281,regular,"This paper presents a novel attack method and a mitigation technique for cold boot attacks on edge devices, focusing on practical implementation and experimental results."
2509.18696,regular,"The paper presents a novel image encryption scheme, FlowCrypt, and its experimental evaluation."
2505.12106,regular,"This paper presents a new framework and dataset for malware classification, not a review of existing research."
2407.16862,regular,"This paper presents a new method for ransomware detection using machine learning on a specific dataset, not a review of existing research."
2407.02733,regular,"This paper presents a novel technique for predicting variable types and names from decompiled code, not a review or survey of existing work."
2307.0652,regular,"This paper presents a framework for migrating to post-quantum cryptography, outlining steps and incorporating case studies, making it an original research paper."
2311.02512,regular,"The paper presents a cryptanalysis of a specific authentication protocol, not a review of existing research in the field."
2504.16057,regular,"This paper presents a novel method for automated vulnerability detection, outlining its architecture, evaluation, and results."
2312.06689,review,"The paper provides an overview of the Internet of Things, covering its history, characteristics, applications, and challenges. It serves as a guide for newcomers, making it a review paper."
2104.01631,regular,"The paper presents original research findings on malware delivery operations, including their response to takedown attempts."
2005.02061,regular,"This paper presents a novel method for connecting mobility data with infectious diseases using cryptography, not a review of existing research."
2003.00542,regular,"The paper presents a new method for user profiling based on smartphone network traffic analysis, not a review of existing research."
2410.17095,regular,"The paper presents a novel mechanism for achieving inferentially-private private information, focusing on a specific technical implementation and utility function."
2510.09985,regular,"This paper presents a new decision support system (Prismo) for selecting privacy-preserving machine learning frameworks, not a review of existing literature."
2507.10162,regular,"This paper presents a novel attack framework for VFL, outlining its methodology and demonstrating its effectiveness. It is not a review or survey of existing research."
2105.14869,regular,"This paper presents original research findings based on interviews with participants in a protest movement, focusing on information security practices."
2110.04618,regular,"This paper presents a novel attack on deniable storage systems, outlining a new method and demonstrating its effectiveness. It is not a review or survey of existing research."
2510.02964,regular,"This paper presents a new attack method for retrieval-augmented large language models, not a review or survey of existing research."
2012.02511,review,"The paper reviews existing threats to information systems, updates a compiled list, and introduces new threats and classifications."
2512.10088,regular,"This paper presents a network-based risk and resilience assessment of the MBTA Green Line, presenting original research and analysis."
2512.04129,regular,"This paper presents a novel attack scheme and defense framework for multi-agent systems, not a review of existing research."
2205.13523,regular,"This paper presents a novel backdoor injection technique for federated learning, outlining its implementation and evaluation. It is not a review or survey of existing research."
2111.08223,review,"The paper provides a comprehensive overview of adversarial attacks against malware analysis systems, covering various techniques, attack domains, and research challenges."
2411.07128,regular,"This paper presents a novel zero-trust RIC framework for data privacy and confidentiality in O-RAN, outlining its design, implementation, and evaluation."
2106.10035,regular,"This paper presents a longitudinal analysis of Android apps to investigate data collection practices and compliance with privacy policies, which is original research."
2507.05728,regular,"This paper presents a novel method for generating unlearnable event streams to protect event datasets from unauthorized use. It outlines a new technique and experimental results, making it an original research paper."
2304.1336,regular,"This paper presents a novel blockchain-based federated learning framework for healthcare systems, proposing a new method for model verification against poisoning attacks. It does not primarily review existing literature."
2107.01912,regular,"This paper presents a novel fuzzer for testing telecom protocols, not a review or survey of existing research."
2508.03413,review,"The paper provides a survey of attacks and privacy issues in vehicular networks, covering various architectures, security mechanisms, and privacy implications."
2309.0819,regular,"This paper presents a novel machine learning model for privacy-preserving image classification, not a review of existing research."
2412.1377,regular,"This paper presents a novel data sharing system based on CP-ABE and decentralized key management, outlining its implementation and experimental evaluation."
2111.11169,review,"The paper reviews and analyzes the security risks of native extensions in scripting languages, providing a comparative analysis and a novel methodology for studying misuse."
2204.12201,regular,"This paper presents a novel method for accelerating FHE, which is an original research paper."
2207.07385,regular,"The paper presents a new approach for quantifying trade-offs in risk management, focusing on a specific application (GDPR Data Protection Impact Assessment). It outlines a methodology and conducts an experimental evaluation, making it an original research paper."
2404.09724,regular,"This paper presents a novel privacy-preserving federated unlearning scheme, outlining its theoretical foundation, implementation details, and evaluation results."
2008.08807,review,"The paper reviews and empirically evaluates different implementations of differential privacy, comparing their tradeoffs between privacy and utility."
2201.03499,review,"The paper reviews and analyzes the concept of deletion-compliance, presenting a new definition and discussing its implications, rather than presenting original research."
2506.09387,regular,"This paper presents a novel blockchain-based payment scheme, Epass, and its security analysis and performance evaluation."
2310.01675,regular,"This paper presents a novel security scheme for 5G networks, outlining a new method and demonstrating its effectiveness through a game-theoretic design."
2104.08494,regular,"The paper presents a new blockchain-based encryption framework, not a review or survey of existing methods."
2501.01194,review,The paper reviews existing approaches to model watermarking and proposes a new game-based approach for trigger-based black-box model watermarking.
2407.13785,review,"The paper reviews and analyzes strategies for enhancing software supply chain resilience, providing an overview of existing challenges and potential solutions."
2009.04274,regular,"This paper presents a novel approach for automating the identification and classification of cryptographic primitives in binary code, not a review of existing research."
2403.10828,regular,"This paper presents new techniques for addressing data availability and decentralization challenges in Layer 2 blockchain networks, not a review of existing literature."
2405.10373,review,"The paper presents a framework for transdisciplinary cybersecurity, which is a position paper or perspective on research directions."
2002.01513,regular,"This paper presents original research on password length leakage vulnerabilities and their potential impact, not a review of existing literature."
2509.04097,regular,"This paper presents a novel elliptic curve, ECCFROG522PP, and details its design, security properties, and reproducibility. It is not a review of existing research."
2002.04609,regular,"This paper describes a new secure messaging application, not a review of existing research."
2412.11474,regular,"This paper presents a novel framework for noise-resilient homomorphic encryption, outlining its design, implementation, and experimental results."
2302.12994,regular,"This paper presents a new lightweight cryptographic algorithm and its implementation on a hardware platform, not a review of existing research."
2008.03593,regular,"This paper presents a new tool (PolyScope) for analyzing Android access control policies and identifying vulnerabilities, which is an original research effort."
2108.10071,regular,"This paper presents a novel method for automatically repairing smart contracts, not a review or survey of existing work."
2506.14466,regular,"This paper presents a novel approach for detecting malicious packages in PyPI, outlining its methodology and evaluating its performance."
2406.09682,regular,"This paper presents a novel method for quantifying non-IID degree in federated learning, not a review of existing literature."
2307.07815,regular,"This paper presents a novel directed hybrid fuzzing technique called HyperGo, outlining its design, implementation, and evaluation on benchmarks."
2305.15191,regular,"This paper presents a novel GAN solution for IoT threat detection, not a review of existing research."
2507.09231,regular,"The paper proposes a new method for creating a confidential version of wrapped Ethereum, presenting a novel technical solution rather than reviewing existing literature."
2412.03973,regular,"The paper presents a new method for evaluating cybersecurity countermeasures using a digital twin model, which is an original research contribution."
2309.09435,review,"The paper systematically reviews existing research on security and privacy in AIGC, focusing on information security properties."
2501.10174,regular,"This paper presents a novel method for runtime model integrity checking, not a review or survey of existing research."
2207.03346,regular,"The paper proposes a new authentication protocol for IoT devices in a fog-mobile edge computing environment, presenting a novel method rather than reviewing existing approaches."
2111.05313,regular,"This paper presents a novel attack on UWB distance measurement systems, not a review of existing research."
2101.05067,regular,"The paper presents a visual analysis of a dataset, focusing on data preprocessing and visualization to identify issues, rather than providing a comprehensive review of existing research."
2508.04583,regular,"The paper presents experimental results on the energy consumption of different privacy-enhancing technologies, not a review of existing literature."
2309.15569,regular,"This paper presents a novel physical layer encryption scheme, not a review of existing literature."
2510.13538,review,"The paper reviews existing research on password management, focusing on the challenges faced by blind and low-vision users and proposes solutions for improving accessibility."
2510.0172,regular,"This paper presents a novel family of Boolean functions with specific properties, outlining their construction and trade-offs. It focuses on original research and results."
2311.12519,regular,"This paper presents a novel homomorphic convolution algorithm and its implementation, not a review of existing research."
2506.09365,regular,"This paper presents a novel AI-based tool for improving security alert investigation, not a review of existing research."
2404.0513,regular,"The paper presents a study on the feasibility of federated learning for privacy-preserving cyber threat detection, outlining experiments and results, not a review of existing literature."
2012.14816,regular,"The paper presents an analysis of the scalability of a deep learning network for steganography, focusing on experimental results and observations."
2510.18113,regular,"This paper presents original research investigating the impact of dark patterns on LLM-based web agents, including a novel framework and experiments."
2304.07166,regular,"This paper presents the results of an empirical study on identifying vulnerabilities in NTFS3, not a review of existing research."
2311.16383,regular,"This paper presents original research investigating user susceptibility to adversarial phishing websites, not a review of existing literature."
2203.11586,review,"The paper presents an axiomatic definition of privacy, synthesizing prior work and contemporary understanding of privacy-enhancing technologies. It does not present new research or methods."
2409.10892,regular,"The paper describes new functionalities and experimental results for a system vulnerability analysis tool, not a review of existing research."
2411.14905,regular,"This paper presents a feasibility study demonstrating the use of LLMs in static malware analysis, presenting experimental results and practical implications."
2512.06659,review,"The paper reviews and categorizes the evolution of agentic AI in cybersecurity, providing a comprehensive overview of the field's development and challenges."
2207.13276,regular,"This paper presents novel methods for generating short addition chains, not a review of existing research."
2411.11114,regular,"This paper presents a novel framework for analyzing jailbreak mechanisms in LLMs, proposing a new method and conducting experiments to evaluate its effectiveness."
2105.11061,regular,"This paper presents a novel framework for IoT botnet detection and analysis, outlining its design, evaluation, and results, making it an original research paper."
2412.04349,regular,"This paper presents a novel security framework for the vehicular Metaverse, outlining its design, implementation, and evaluation. It does not primarily review existing literature."
2302.02324,regular,"This paper presents a novel method for anomaly detection in embedded devices, not a review of existing research."
2411.16291,regular,"This paper presents a position paper exploring the factors influencing a participant's decision to migrate within the cybercriminal underground, presenting a novel argument and research direction."
2407.08935,regular,"This paper presents a novel attack and defense for backdoor attacks on Federated Graph Learning, outlining a new method for generating backdoor triggers and a certified defense mechanism."
